Memory,Memory_Bandwidth,Memory_Speed,Pixel_Rate,TMUs,Max_Power,Manufacturer,Memory_Type
512,512,800,64,24,60,Nvidia,GDDR
512,256,800,64,16,45,Nvidia,GDDR
512,512,800,64,16,65,Nvidia,GDDR
512,256,800,8,8,29,Nvidia,GDDR
512,512,800,64,24,60,Nvidia,GDDR
1024,256,800,8,24,23,Nvidia,GDDR
1024,256,800,8,24,23,Nvidia,GDDR
512,224,700,64,16,20,Nvidia,GDDR
1024,256,800,8,24,20,Nvidia,GDDR
1024,256,800,8,24,20,Nvidia,GDDR
256,112,700,64,8,13,Nvidia,GDDR
256,96,600,64,8,13,Nvidia,GDDR
256,112,700,64,8,13,Nvidia,DDR
64,1000,250,1,8,24,Nvidia,DDR
64,880,220,1,4,24,Nvidia,DDR
1024,253,790,11,24,35,Nvidia,GDDR
32,800,200,1,4,24,Nvidia,DDR
512,256,800,8,16,35,Nvidia,GDDR
128,32,200,1,4,24,Nvidia,DDR
1024,512,800,64,24,75,Nvidia,GDDR
512,224,700,64,16,45,Nvidia,GDDR
512,128,800,11,8,25,Nvidia,GDDR
1024,64,1000,23,40,100,Nvidia,GDDR
256,96,600,64,8,17,Nvidia,GDDR
1024,512,800,64,24,70,Nvidia,GDDR
1024,64,1000,23,40,75,Nvidia,GDDR
256,56,350,64,8,15,Nvidia,DDR
512,448,700,64,24,45,Nvidia,GDDR
1024,384,600,67,32,45,Nvidia,GDDR
1024,704,1100,23,24,45,Nvidia,GDDR
512,256,800,64,32,50,Nvidia,GDDR
1024,208,650,8,16,30,Nvidia,GDDR
512,32,500,67,16,45,Nvidia,GDDR
512,512,800,64,16,65,Nvidia,GDDR
512,691,1080,66,40,78,AMD,DDR
512,691,1080,66,40,78,AMD,DDR
8192,1155,902,25,128,100,Nvidia,GDDR
4096,896,700,19,80,100,Nvidia,GDDR
1024,144,900,34,60,219,Nvidia,DDR
4096,96,750,19,112,100,Nvidia,GDDR
2048,896,700,64,64,75,Nvidia,GDDR
2048,288,900,43,32,55,Nvidia,DDR
4096,1664,1300,27,80,100,Nvidia,GDDR
2048,448,700,11,32,45,Nvidia,GDDR
4096,1024,800,23,64,75,Nvidia,GDDR
2048,288,900,14,16,45,Nvidia,DDR
2048,1536,1200,29,64,100,Nvidia,GDDR
2048,80,625,64,32,75,Nvidia,GDDR
2048,288,900,9,32,55,Nvidia,DDR
512,256,800,64,32,50,Nvidia,GDDR
2048,1536,1200,29,64,100,Nvidia,GDDR
1024,144,900,34,60,219,Nvidia,DDR
2048,288,900,23,32,45,Nvidia,DDR
1024,256,800,8,24,35,Nvidia,DDR
1024,128,800,34,60,219,Nvidia,DDR
512,128,800,8,8,14,Nvidia,GDDR
256,112,700,64,8,10,Nvidia,GDDR
128,112,700,64,8,10,Nvidia,DDR
512,128,800,8,8,14,Nvidia,GDDR
256,96,600,64,8,10,Nvidia,GDDR
256,112,700,64,8,10,Nvidia,GDDR
512,112,700,64,8,10,Nvidia,DDR
1024,341,1067,6,24,15,AMD,DDR
512,704,800,64,20,10,Nvidia,DDR
1024,256,800,4,24,19,AMD,DDR
1024,256,800,4,24,20,AMD,DDR
512,299,933,3,8,15,AMD,DDR
1024,299,933,5,24,35,AMD,DDR
1024,341,1067,6,24,35,AMD,DDR
1024,256,800,4,24,20,AMD,DDR
2048,299,933,5,16,35,AMD,DDR
1024,107,667,2,8,5,AMD,DDR
1024,256,800,4,16,20,AMD,DDR
1024,256,800,4,16,20,AMD,DDR
1024,149,933,3,8,15,AMD,DDR
1024,128,800,2,8,15,AMD,DDR
512,256,800,2,8,17,AMD,DDR
1024,128,800,3,8,15,AMD,DDR
1024,128,800,2,8,15,AMD,DDR
512,85,533,1,8,4,AMD,DDR
512,256,800,2,8,17,AMD,DDR
1024,149,933,3,8,15,AMD,DDR
1024,107,667,1,8,5,AMD,DDR
1024,107,667,1,8,10,AMD,DDR
2048,864,1800,18,48,85,AMD,DDR
1024,16,1000,12,48,50,AMD,DDR
